nct_id,official_title,primary_completion_date,enrollment,study_type,overall_status
NCT01116648,"Phase I/II Study of Cediranib and Olaparib in Combination for Treatment of Recurrent Papillary-Serous Ovarian, Fallopian Tube, or Peritoneal Cancer or for Treatment of Recurrent Triple-Negative Breast Cancer",2018-10-31,155,Interventional,"Active, not recruiting"
NCT01306032,"Phase II Randomized Trial of ABT-888 in Combination With Metronomic Oral Cyclophosphamide in Refractory BRCA-Positive Ovarian, Primary Peritoneal, Ovarian High-Grade Serous Carcinoma, Fallopian Tube Cancer, or Triple-Negative Breast Cancer",2014-12-31,124,Interventional,Completed
NCT01506609,"A Randomized, Phase 2 Study of the Efficacy and Tolerability of Veliparib in Combination With Temozolomide or Veliparib in Combination With Carboplatin and Paclitaxel Versus Placebo Plus Carboplatin and Paclitaxel in Subjects With BRCA1 or BRCA2 Mutation and Metastatic Breast Cancer",2018-12-13,294,Interventional,Completed
NCT01818063,"An Adaptive, Randomized Phase II Trial to Determine Pathologic Complete Response With the Addition of Carboplatin With and Without Veliparib to Standard Chemotherapy in the Neoadjuvant Treatment of Triple-Negative Breast Cancer",2015-03-01,9,Interventional,Completed
NCT01905592,"A Phase III, Randomized, Open Label, Multicenter, Controlled Trial of Niraparib Versus Physician's Choice in Previously-treated, HER2 Negative, Germline BRCA Mutation-positive Breast Cancer Patients",2018-05-23,216,Interventional,Terminated
NCT01945775,"A PHASE 3, OPEN-LABEL, RANDOMIZED PARALLEL,2-ARM,MULTI-CENTER STUDY OF TALAZOPARIB(BMN 673) VERSUS PHYSICIAN'S CHOICE IN GERMLINE BRCA MUTATION SUBJECTS WITH LOCALLY ADVANCED AND/OR METASTATIC BREAST CANCER, WHO HAVE RECEIVED PRIOR CHEMOTHERAPY REGIMENS FOR METASTATIC DISEASE",2017-09-15,431,Interventional,Completed
NCT02000622,"A Phase III, Open Label, Randomised, Controlled, Multi-centre Study to Assess the Efficacy and Safety of Olaparib Monotherapy Versus Physicians Choice Chemotherapy in the Treatment of Metastatic Breast Cancer Patients With Germline BRCA1/2 Mutations.",2016-12-09,302,Interventional,"Active, not recruiting"
NCT02032823,"A Randomised, Double-blind, Parallel Group, Placebo-controlled Multi-centre Phase III Study to Assess the Efficacy and Safety of Olaparib Versus Placebo as Adjuvant Treatment in Patients With gBRCA1/2 Mutations and High Risk HER2 Negative Primary Breast Cancer Who Have Completed Definitive Local Treatment and Neoadjuvant or Adjuvant Chemotherapy",2020-03-27,1836,Interventional,"Active, not recruiting"
NCT02163694,"A Phase 3 Randomized, Placebo-Controlled Trial of Carboplatin and Paclitaxel With or Without the PARP Inhibitor Veliparib (ABT-888) in HER2-Negative Metastatic or Locally Advanced Unresectable BRCA-Associated Breast Cancer",2019-04-05,509,Interventional,"Active, not recruiting"
NCT02282020,"A Phase III, Open Label, Randomised, Controlled, Multi-centre Study to Assess the Efficacy and Safety of Olaparib Monotherapy Versus Physician's Choice Single Agent Chemotherapy in the Treatment of Platinum Sensitive Relapsed Ovarian Cancer in Patients Carrying Germline BRCA1/2 Mutations.",2018-10-10,266,Interventional,Completed
NCT03167619,Phase II Multicenter Study of Durvalumab and Olaparib in Platinum tReated Advanced Triple Negative Breast Cancer,2021-06-30,45,Interventional,Completed
NCT03330847,"A Phase II, Open Label, Randomised, Multi-centre Study to Assess the Safety and Efficacy of Agents Targeting DNA Damage Repair in Combination With Olaparib Versus Olaparib Monotherapy in the Treatment of Metastatic Triple Negative Breast Cancer Patients Stratified by Alterations in Homologous Recombinant Repair (HRR)-Related Genes (Including BRCA1/2) (VIOLETTE).",2020-11-13,273,Interventional,"Active, not recruiting"
